codigo_cliente,tarjeta_beneficios,tipo_cliente,promedio_compras,tipo_alimentacion,tiempo_permanencia_min,"1,_app,_xmor34,_2025-01-06",codigo,nombre,apellido,comuna,rut,fecha_nacimiento,religion
1.0,si,3.0,397192.0,normal,15.0,,,,,,,,
2.0,no,4.0,36830.0,no aplica,23.0,,,,,,,,
3.0,si,5.0,282014.0,vegetariano,20.0,,,,,,,,
4.0,si,2.0,411091.0,vegetariano,31.0,,,,,,,,
5.0,no,3.0,804383.0,normal,33.0,,,,,,,,
6.0,no,1.0,23105.0,no aplica,55.0,,,,,,,,
7.0,si,3.0,616131.0,vegano,60.0,,,,,,,,
8.0,no,5.0,113022.0,normal,37.0,,,,,,,,
9.0,si,3.0,480291.0,no aplica,49.0,,,,,,,,
10.0,no,4.0,221219.0,no aplica,25.0,,,,,,,,
11.0,si,4.0,717537.0,vegetariano,56.0,,,,,,,,
12.0,si,2.0,594132.0,vegetariano,46.0,,,,,,,,
13.0,no,3.0,531171.0,no aplica,11.0,,,,,,,,
14.0,no,3.0,264756.0,vegano,58.0,,,,,,,,
15.0,si,1.0,505813.0,normal,55.0,,,,,,,,
16.0,no,5.0,413316.0,no aplica,43.0,,,,,,,,
17.0,no,1.0,704141.0,no aplica,44.0,,,,,,,,
18.0,si,4.0,884032.0,no aplica,16.0,,,,,,,,
19.0,si,4.0,190359.0,vegetariano,24.0,,,,,,,,
20.0,si,4.0,233465.0,vegano,41.0,,,,,,,,
21.0,no,3.0,489120.0,normal,40.0,,,,,,,,
22.0,si,4.0,198902.0,no aplica,32.0,,,,,,,,
23.0,no,3.0,900358.0,vegetariano,29.0,,,,,,,,
24.0,si,4.0,395723.0,vegano,53.0,,,,,,,,
25.0,si,2.0,976782.0,vegetariano,55.0,,,,,,,,
26.0,no,5.0,839209.0,vegano,17.0,,,,,,,,
27.0,si,2.0,810752.0,normal,41.0,,,,,,,,
28.0,no,5.0,156405.0,normal,41.0,,,,,,,,
29.0,si,5.0,736638.0,vegano,42.0,,,,,,,,
30.0,si,5.0,644311.0,vegano,43.0,,,,,,,,
31.0,si,2.0,541816.0,vegetariano,28.0,,,,,,,,
32.0,si,5.0,764816.0,normal,27.0,,,,,,,,
33.0,si,2.0,354297.0,vegetariano,58.0,,,,,,,,
34.0,si,1.0,173850.0,vegano,46.0,,,,,,,,
35.0,no,2.0,271605.0,normal,33.0,,,,,,,,
36.0,no,3.0,378067.0,normal,49.0,,,,,,,,
37.0,si,4.0,497113.0,normal,60.0,,,,,,,,
38.0,si,3.0,42966.0,vegano,33.0,,,,,,,,
39.0,no,2.0,294678.0,vegetariano,28.0,,,,,,,,
40.0,no,4.0,63089.0,normal,22.0,,,,,,,,
41.0,si,2.0,774181.0,vegetariano,29.0,,,,,,,,
42.0,no,2.0,820911.0,no aplica,56.0,,,,,,,,
43.0,no,5.0,231575.0,normal,56.0,,,,,,,,
44.0,no,2.0,914008.0,no aplica,15.0,,,,,,,,
45.0,no,4.0,476224.0,normal,36.0,,,,,,,,
46.0,si,5.0,151318.0,normal,30.0,,,,,,,,
47.0,no,3.0,819949.0,normal,15.0,,,,,,,,
48.0,si,3.0,694398.0,vegano,20.0,,,,,,,,
49.0,no,2.0,136587.0,no aplica,22.0,,,,,,,,
50.0,no,1.0,833412.0,normal,35.0,,,,,,,,
51.0,si,2.0,150795.0,vegetariano,31.0,,,,,,,,
52.0,no,3.0,952147.0,vegetariano,15.0,,,,,,,,
53.0,no,5.0,973431.0,vegetariano,24.0,,,,,,,,
54.0,si,2.0,48908.0,no aplica,40.0,,,,,,,,
55.0,si,5.0,936270.0,vegano,56.0,,,,,,,,
56.0,si,1.0,314467.0,no aplica,57.0,,,,,,,,
57.0,no,4.0,816415.0,vegano,45.0,,,,,,,,
58.0,si,2.0,525814.0,vegetariano,18.0,,,,,,,,
59.0,no,5.0,723360.0,normal,60.0,,,,,,,,
60.0,no,2.0,691100.0,vegano,39.0,,,,,,,,
61.0,si,2.0,341488.0,vegano,11.0,,,,,,,,
62.0,si,4.0,550706.0,vegetariano,48.0,,,,,,,,
63.0,si,5.0,970380.0,vegetariano,26.0,,,,,,,,
64.0,no,2.0,746005.0,vegano,26.0,,,,,,,,
65.0,si,4.0,492850.0,no aplica,13.0,,,,,,,,
66.0,si,4.0,694209.0,normal,50.0,,,,,,,,
67.0,no,3.0,585694.0,no aplica,56.0,,,,,,,,
68.0,no,4.0,57768.0,no aplica,38.0,,,,,,,,
69.0,no,5.0,61587.0,no aplica,28.0,,,,,,,,
70.0,no,1.0,792326.0,normal,52.0,,,,,,,,
71.0,si,4.0,225354.0,vegetariano,27.0,,,,,,,,
72.0,si,3.0,237354.0,normal,46.0,,,,,,,,
73.0,no,5.0,173956.0,normal,50.0,,,,,,,,
74.0,no,5.0,229081.0,vegano,38.0,,,,,,,,
75.0,si,4.0,823924.0,no aplica,16.0,,,,,,,,
76.0,si,4.0,969002.0,vegetariano,54.0,,,,,,,,
77.0,no,3.0,143067.0,vegetariano,46.0,,,,,,,,
78.0,no,4.0,485701.0,normal,38.0,,,,,,,,
79.0,si,4.0,603056.0,vegano,42.0,,,,,,,,
80.0,si,3.0,238000.0,vegetariano,21.0,,,,,,,,
81.0,no,2.0,637300.0,normal,56.0,,,,,,,,
82.0,si,3.0,888618.0,normal,11.0,,,,,,,,
83.0,no,3.0,734047.0,vegetariano,21.0,,,,,,,,
84.0,si,4.0,473736.0,normal,10.0,,,,,,,,
85.0,si,1.0,779918.0,normal,48.0,,,,,,,,
86.0,si,1.0,45211.0,vegano,34.0,,,,,,,,
87.0,no,4.0,687791.0,vegetariano,55.0,,,,,,,,
88.0,si,4.0,779933.0,normal,20.0,,,,,,,,
89.0,si,5.0,293281.0,normal,55.0,,,,,,,,
90.0,no,3.0,45456.0,no aplica,44.0,,,,,,,,
91.0,no,1.0,89017.0,normal,25.0,,,,,,,,
92.0,si,3.0,831277.0,no aplica,18.0,,,,,,,,
93.0,no,2.0,878632.0,vegano,56.0,,,,,,,,
94.0,no,3.0,241416.0,vegano,58.0,,,,,,,,
95.0,si,3.0,974262.0,normal,28.0,,,,,,,,
96.0,si,2.0,204696.0,normal,48.0,,,,,,,,
97.0,si,5.0,375814.0,vegetariano,16.0,,,,,,,,
98.0,si,2.0,574761.0,no aplica,59.0,,,,,,,,
99.0,no,4.0,791544.0,normal,48.0,,,,,,,,
100.0,no,2.0,967512.0,vegano,12.0,,,,,,,,
101.0,si,5.0,861064.0,vegano,57.0,,,,,,,,
102.0,si,5.0,21410.0,normal,35.0,,,,,,,,
103.0,no,3.0,639903.0,vegano,57.0,,,,,,,,
104.0,no,5.0,588438.0,normal,45.0,,,,,,,,
105.0,no,2.0,916162.0,no aplica,13.0,,,,,,,,
106.0,no,2.0,742597.0,vegano,20.0,,,,,,,,
107.0,si,2.0,604442.0,normal,17.0,,,,,,,,
108.0,si,5.0,806914.0,normal,19.0,,,,,,,,
109.0,no,4.0,793534.0,no aplica,36.0,,,,,,,,
110.0,si,3.0,729754.0,normal,43.0,,,,,,,,
111.0,si,2.0,720046.0,vegano,13.0,,,,,,,,
112.0,si,1.0,830064.0,vegano,10.0,,,,,,,,
113.0,no,4.0,397041.0,no aplica,44.0,,,,,,,,
114.0,no,3.0,77526.0,vegetariano,41.0,,,,,,,,
115.0,no,5.0,215988.0,normal,34.0,,,,,,,,
116.0,no,2.0,564228.0,no aplica,43.0,,,,,,,,
117.0,si,2.0,961715.0,vegano,43.0,,,,,,,,
118.0,no,4.0,322401.0,vegetariano,30.0,,,,,,,,
119.0,si,3.0,103959.0,vegano,42.0,,,,,,,,
120.0,no,2.0,610626.0,normal,51.0,,,,,,,,
121.0,si,1.0,371151.0,normal,42.0,,,,,,,,
122.0,si,1.0,128001.0,vegetariano,53.0,,,,,,,,
123.0,si,3.0,559434.0,normal,19.0,,,,,,,,
124.0,si,4.0,825601.0,vegano,35.0,,,,,,,,
125.0,si,4.0,6066.0,vegano,48.0,,,,,,,,
126.0,si,3.0,501318.0,normal,27.0,,,,,,,,
